,title,credit,desc
0,Digital Art Studio,Arts 1,"Students will learn various digital art making software and websites. They will experience the advantages of common digital tools to create consistent work. In this class students can expect to work on digital projects involving digital drawing, animation, photo editing, E-zines, and augmented reality. "
1,Music Recording and Performance,Arts or Computers 1,"Music exists as two separate artforms. On the one hand, music as it has traditionally existed is a fleeting performance art; the music exists only through its performance, similar to how a poem is meant to be read aloud, and does not exist on the page. In the late 1800’s, however, it became possible to record sounds through mechanical means, and play back the same recording over and over. In the 20th century, electronic instruments and advanced recording techniques brought about an era where music has more in common with sculpture than poetry; a piece of music is honed and perfected, with each shift in timbre and rhythm intentional and precise. This course will examine the duality of recorded and performed music, and students will learn to play music live as well as to record live instruments or create them from pure technological manipulation to create songs in a studio setting. The exhibition for this course will take the form of a live concert and listening party answering the essential question: "
2,The American Artist,"Arts, Social Studies, or US History 1","Students will analyze the artwork and backgrounds of various American artists. Artists from varying cultures, time periods, and experiences will be researched and discussed. The work of both American born and immigrant artists will be examined. Students will explore how American culture and societal norms affect the artistic development of an artist. EQ: "
3,Collage Studio,Arts 1,"Students will work with mixed media techniques to create various collage artworks.                     Students can expect to work in 2D, 3D, and digital art mediums to develop their collages.                     EQ: How can pre-existing images and materials be repurposed to create a new meaning?"
4,Surrealism-Inspired Art,Arts 1,"Students will learn about the Surrealist art movement and take inspiration from famous Surrealist artists. Concepts involving juxtaposition, irrationality, dreams, and the unconscious mind will be explored to produce interesting results. Students may create artwork using a variety of traditional/digital art making tools and materials. EQ: "
5,Yearbook,Arts or Computers 1,"This will be a highly collaborative class working together to create the yearbook in 8 weeks. Students will learn techniques for managing and displaying large amounts of content. We will discuss ways to keep margins and spacing consistent, how to ensure appropriate resolution and colors for printing and how to design layouts that are visually pleasing."
6,Fiction-Inspired Art,Arts 1,"Students will create artwork based on their favorite fictional narratives. Artwork may take inspiration from written, visual and interactive properties. Students will consider narrative elements such as archetypes, settings, and symbolism to create original artworks. Students can utilize any traditional or digital art making tools available for their projects."
7,Ancient Greek Theatre,Arts 1,"This course introduces and explores the origins of theatre through storytelling. Students will develop storytelling skills using archetypal characters and explore the use of the chorus to engage audiences. As part of this course, students will be expected to take part in developing, producing, directing, and partaking in short performances in front of a live audience. We will explore the importance of Ancient Greece in creating what we now understand as actors, theatres, plays, and the definitions of tragedy and comedy. This course will focus on the technical approaches to storytelling that were so popular during the period."
8,Page to Stage,Arts 1,"This course introduces and explores theatre from page to stage as a live performing art. Students will explore how the written word translates into live-action by using a set of staged practices rich with social context. Learning through this tradition of theatre, participants will appreciate social contexts related to the stage. They will have the opportunity to study scripts and learn basic acting and directing tools to stage short performance pieces."
9,The Meaning of Music,Arts 1,"In this class, we will broaden our understanding of music! Using music from across the world and our own playlists, we will consider the meaning of music on an individual and collective level. In addition to studying basic elements of music theory, this course will consider the contexts in which music is made, both personal and cultural, as we develop new appreciation for the musical form of human expression. "
